id,razao social,endereco,bairro,bandeira,latitude,longitude
1,Afogados Comercio de Combustivel Ltda - Epp,"Rua Cosme Viana, 721 Loja 1",Afogados,SETTA DISTRIBUIDORA,8.0710581,34.9096468
2,Posto Avenida Recife Ltda,"Avenida Recife, 2981",Ipsep,FEDERAL,8.1137826,34.92566
3,Nvc Comercio de Combustiveis Eireli,"Avenida Norte Miguel Arraes de Alencar, 2905",Encruzilhada,BRANCA,8.0354279,34.8956273
4,Mega Posto Ltda,"Avenida Marechal Masc.de Moraes, 1022",Imbiribeira,IPIRANGA,8.091654,34.908837
5,Energy Derivados de Petroleo Ltda,"Rua Jaticy, 53",Imbiribeira,PETROBRAS DISTRIBUIDORA S.A.,8.1153005,34.9127029
6,Serv- Norte Comércio de Combustiveis Ltda,"Rua Jose Osorio, 153",Madalena,BRANCA,8.0534046,34.9058755
7,Posto Sejal Ltda.,"Avenida Militar, 545",Recife,PETROBRAS DISTRIBUIDORA S.A.,8.0518662,34.872319
8,Monteneses Ltda,"Avenida Marechal Mascarenhas de Morais, 3000 0",Imbiribeira,IPIRANGA,8.1176271,34.9137208
9,Petrocal Petroleo Cavalcanti Limitada,"Avenida Marechal Mascarenhas de Morais, 1854",Imbiribeira,PETROBRAS DISTRIBUIDORA S.A.,8.098773999999999,34.910327
10,Posto Apipucos Ltda,"Rua Professor Trajano de Mendonca, 440",Torre,RAIZEN,8.044053,34.909476
11,M M Petróleo Ltda,"Avenida Agamenon Magalhães, S/n Módulo 04",Santo Amaro,PETROBRAS DISTRIBUIDORA S.A.,8.0409912,34.8803136
12,Posto Ypiranga Ltda - Me,"Rua Futuro, 436",Aflitos,PETROBRAS DISTRIBUIDORA S.A.,8.0408323,34.8998928
13,Cjcm Petroleo Ltda.,"Avenida Marechal Mascarenhas de Morais, 4900",Imbiribeira,RAIZEN,8.1278436,34.9158603
14,Posto Xingu Ltda,"Rua Joao Tude de Melo, 91",Parnamirim,IPIRANGA,8.0359422,34.9099119
15,Posto Modelo Ltda,"Avenida Professor Joao Medeiros, 233",Boa Viagem,IPIRANGA,8.1175207,34.9008331
16,Posto Elo Ltda,"Estrada dos Remedios, 879",Afogados,IPIRANGA,8.0722081,34.9077672
17,Petrocal Petroleo Cavalcanti Limitada,"Avenida Engenheiro Abdias de Carvalho, 720",Torroes,PETROBRAS DISTRIBUIDORA S.A.,8.0626508,34.9329973
18,Posto Escadense Eireli,"Rua Barao de Souza Leao, 939 Parte",Boa Viagem,BRANCA,8.1325503,34.9084088
19,Posto de Combustíveis Cdu Ltda.,"Rua General Polidoro, 1050",Várzea,PETROBRAS DISTRIBUIDORA S.A.,8.046221400000002,34.9481243
20,Posto Cayman Ltda.,"Estrada de Belem, 1218",Campo Grande,BRANCA,8.0323244,34.8811986
21,Carrefour Comercio e Industria Ltda,"Rua José Bonifácio, 1315 Parte",Torre,RAIZEN,8.0407875,34.9103447
22,Companhia Brasileira de Distribuicao,"Avenida Engenheiro Abdias de Carvalho, 336",Madalena,IPIRANGA,8.0608903,34.9055335
23,Companhia Brasileira de Distribuicao,"Estrada dos Remedios, 2464",Ilha do Retiro,RAIZEN,8.058341300000002,34.9069599
24,Posto Tacaruna Ltda,"Avenida Cruz Cabuga, 991",Santo Amaro,IPIRANGA,8.039565399999999,34.8719012
25,Postos Fvv - Eireli,"Avenida Militar, 550",Bairro do Recife,RAIZEN,8.0524624,34.8716332
26,Teixeira & Filhos Ltda.,"Avenida Norte, 6999",Casa Amarela,BRANCA,8.0194833,34.9274993
27,Norte Braz Ltda - Me,"Rua Sao Bento, 340",Agua Fria,BRANCA,8.023596699999999,34.8969416
28,Posto Silva & Araujo Ltda - Me,"Avenida Caxanga, 2615",Cordeiro,BRANCA,8.0459429,34.9298171
29,Petroleo Cosmorama Ltda,"Rua Cosmorama, 548",Boa Viagem,PETROBRAS DISTRIBUIDORA S.A.,8.1420662,34.9116985
30,Torre Comércio de Combustíveis Ltda - Me.,"Rua Real da Torre, 954",Madalena,BRANCA,8.0486756,34.9086194
31,A B Silva e Cia Ltda,"Avenida Beberibe, 1021",Arruda,PETROBRAS DISTRIBUIDORA S.A.,8.0284357,34.8931574
32,Posto Cancun Ltda,"Estrada de Belem, 736",Campo Grande,TDC DISTRIBUIDORA,8.033705399999999,34.8850685
33,Ac Norte Ltda.,"Avenida Norte, 1002",Santo Amaro,BRANCA,8.0442568,34.8811061
34,Petrovel Petróleo Veloso Ltda.,"Avenida Alfredo Lisboa, 173 Terreo",Bairro do Recife,PETROBRAS DISTRIBUIDORA S.A.,8.065403,34.872612
35,Posto Modelo Ltda,"Avenida Caxanga, 2864",Iputinga,RAIZEN,8.044094099999999,34.9321674
36,Mf Comércio de Derivados de Petróleo Ltda.,"Avenida Joaquim Ribeiro, 1345",Várzea,PETROBRAS DISTRIBUIDORA S.A.,8.021916,34.9645933
37,Geraldo Vieira e Cia Ltda.,"Avenida Caxangá, 4500",Iputinga,RAIZEN,8.036888,34.9451094
38,Cemopel Cm Petroleo Ltda,"Rua Rio Azul, 219",Boa Viagem,RAIZEN,8.134176799999999,34.9093948
39,Cjcm Petroleo Ltda.,"Rua Ernesto de Paula Santos, 525",Boa Viagem,RAIZEN,8.12469,34.9018542
40,Nodepel - Novaes Derivados de Petroleo Ltda,"Avenida Marechal Mascarenhas de Moraes, 2135",Imbiribeira,IPIRANGA,8.1091845,34.9116613
41,Cunha Derivados de Petroleo Ltda,"Avenida Marechal Mascarenhas de Morais, 3468",Imbiribeira,PETROBRAS DISTRIBUIDORA S.A.,8.0914307,34.9086676
42,Abasteca Comercio de Combustiveis Ltda,"Avenida Caxanga, 5808 Casa",Iputinga,RAIZEN,8.03124,34.9553673
43,Posto de Serviços Quatro Irmãos Ltda.,"Avenida Manoel Gonçalves da Luz, 901 0",Mustardinha,BRANCA,8.074447,34.9182253
44,Gmv Combustíveis Ltda.,"Avenida Joaquim Ribeiro, 675",Várzea,DISLUB,8.0262788,34.9608619
45,Mc Comercio Derivados de Petroleo Ltda,"Avenida Norte, 4390 0",Tamarineira,PETROBRAS DISTRIBUIDORA S.A.,8.0264024,34.9048737
46,Terezinha Moura Andrade,"Largo do Mercado do Cordeiro, S/n Box 74/79",Cordeiro,DISLUB,8.0524188,34.9213297
47,Posto Capri Comércio de Petróleo Ltda.,"Avenida General San Martins, 625",Cordeiro,TDC DISTRIBUIDORA,8.0553452,34.9237417
48,Petro Caxanga Ltda,"Avenida Caxangá, 4335",Iputinga,DISLUB,8.038013,34.9440759
49,Organização de Petroleo Shopping Ltda,"Rua Barão de Souza Leão, 1388 0",Boa Viagem,PETROBRAS DISTRIBUIDORA S.A.,8.1328301,34.912454
50,Cjcm Petroleo Ltda.,"Avenida Dezessete de Agosto, 2450",Monteiro,RAIZEN,8.028319,34.9261111
